Time,Temperature,Rp0.2,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,1908.0,biharmonic,,,,
2.101010101010101,460.0,1908.0,biharmonic,,,,
2.202020202020202,460.0,1908.0,biharmonic,,,,
2.303030303030303,460.0,1908.0,biharmonic,,,,
2.404040404040404,460.0,1908.0,biharmonic,,,,
2.505050505050505,460.0,1908.0,biharmonic,,,,
2.606060606060606,460.0,1908.0,biharmonic,,,,
2.707070707070707,460.0,1908.0,biharmonic,,,,
2.808080808080808,460.0,1908.0,biharmonic,,,,
2.909090909090909,460.0,1908.0,biharmonic,,,,
3.0101010101010104,460.0,1908.0,biharmonic,,,,
3.111111111111111,460.0,1908.0,biharmonic,,,,
3.212121212121212,460.0,1908.0,biharmonic,,,,
3.313131313131313,460.0,1908.0,biharmonic,,,,
3.4141414141414144,460.0,1908.0,biharmonic,,,,
3.515151515151515,460.0,1908.0,biharmonic,,,,
3.616161616161616,460.0,1908.0,biharmonic,,,,
3.717171717171717,460.0,1908.0,biharmonic,,,,
3.8181818181818183,460.0,1908.0,biharmonic,,,,
3.919191919191919,460.0,1908.0,biharmonic,,,,
4.020202020202021,460.0,1908.0,biharmonic,,,,
4.121212121212121,460.0,1908.0,biharmonic,,,,
4.222222222222222,460.0,1908.0,biharmonic,,,,
4.3232323232323235,460.0,1908.0,biharmonic,,,,
4.424242424242424,460.0,1908.0,biharmonic,,,,
4.525252525252525,460.0,1908.0,biharmonic,,,,
4.626262626262626,460.0,1908.0,biharmonic,,,,
4.727272727272727,460.0,1908.0,biharmonic,,,,
4.828282828282829,460.0,1908.0,biharmonic,,,,
4.929292929292929,460.0,1908.0,biharmonic,,,,
5.03030303030303,460.0,1908.0,biharmonic,,,,
5.1313131313131315,460.0,1908.0,biharmonic,,,,
5.232323232323232,460.0,1908.0,biharmonic,,,,
5.333333333333334,460.0,1908.0,biharmonic,,,,
5.434343434343434,460.0,1908.0,biharmonic,,,,
5.5353535353535355,460.0,1908.0,biharmonic,,,,
5.636363636363637,460.0,1908.0,biharmonic,,,,
5.737373737373737,460.0,1908.0,biharmonic,,,,
5.838383838383838,460.0,1908.0,biharmonic,,,,
5.9393939393939394,460.0,1908.0,biharmonic,,,,
6.040404040404041,460.0,1906.3910303261682,biharmonic,,,,
6.141414141414141,460.0,1902.3751757394307,biharmonic,,,,
6.242424242424242,460.0,1898.3815022182705,biharmonic,,,,
6.343434343434343,460.0,1894.4260046699428,biharmonic,,,,
6.444444444444445,460.0,1890.5246780017037,biharmonic,,,,
6.545454545454545,460.0,1886.6935171208086,biharmonic,,,,
6.646464646464646,460.0,1882.9485169345123,biharmonic,,,,
6.747474747474747,460.0,1879.3056723500704,biharmonic,,,,
6.848484848484849,460.0,1875.7809782747383,biharmonic,,,,
6.94949494949495,460.0,1872.3904296157716,biharmonic,,,,
7.05050505050505,460.0,1869.1500212804258,biharmonic,,,,
7.151515151515151,460.0,1866.075748175956,biharmonic,,,,
7.252525252525253,460.0,1863.1836052096178,biharmonic,,,,
7.353535353535354,460.0,1860.489587288666,biharmonic,,,,
7.454545454545454,460.0,1858.0096893203568,biharmonic,,,,
7.555555555555555,460.0,1855.7599062119455,biharmonic,,,,
7.656565656565657,460.0,1853.7562328706867,biharmonic,,,,
7.757575757575758,460.0,1852.014664203837,biharmonic,,,,
7.858585858585858,460.0,1850.5511951186509,biharmonic,,,,
7.959595959595959,460.0,1849.381820522384,biharmonic,,,,
8.06060606060606,460.0,1848.521668099633,biharmonic,,,,
8.161616161616163,460.0,1847.9729285440642,biharmonic,,,,
8.262626262626263,460.0,1847.7278536920162,biharmonic,,,,
8.363636363636363,460.0,1847.7784408768134,biharmonic,,,,
8.464646464646464,460.0,1848.1166874317807,biharmonic,,,,
8.565656565656566,460.0,1848.734590690244,biharmonic,,,,
8.666666666666668,460.0,1849.6241479855285,biharmonic,,,,
8.767676767676768,460.0,1850.7773566509586,biharmonic,,,,
8.868686868686869,460.0,1852.1862140198605,biharmonic,,,,
8.969696969696969,460.0,1853.8427174255587,biharmonic,,,,
9.070707070707071,460.0,1855.7388642013789,biharmonic,,,,
9.171717171717171,460.0,1857.866651680646,biharmonic,,,,
9.272727272727273,460.0,1860.2180771966857,biharmonic,,,,
9.373737373737374,460.0,1862.7851380828226,biharmonic,,,,
9.474747474747474,460.0,1865.5598316723822,biharmonic,,,,
9.575757575757574,460.0,1868.5341552986897,biharmonic,,,,
9.676767676767676,460.0,1871.7001062950703,biharmonic,,,,
9.777777777777779,460.0,1875.049681994849,biharmonic,,,,
9.878787878787879,460.0,1878.5748797313518,biharmonic,,,,
9.97979797979798,460.0,1882.267696837903,biharmonic,,,,
10.080808080808081,460.0,1886.1201306478283,biharmonic,,,,
10.181818181818182,460.0,1890.1241784944527,biharmonic,,,,
10.282828282828282,460.0,1894.2718377111016,biharmonic,,,,
10.383838383838384,460.0,1898.5551056310999,biharmonic,,,,
10.484848484848484,460.0,1902.965979587773,biharmonic,,,,
10.585858585858587,460.0,1907.4964569144468,biharmonic,,,,
10.686868686868687,460.0,1912.1385349444452,biharmonic,,,,
10.787878787878787,460.0,1916.8842110110943,biharmonic,,,,
10.88888888888889,460.0,1921.725482447719,biharmonic,,,,
10.98989898989899,460.0,1926.6543465876448,biharmonic,,,,
11.09090909090909,460.0,1931.6628007641966,biharmonic,,,,
11.191919191919192,460.0,1936.7428423106999,biharmonic,,,,
11.292929292929292,460.0,1941.8864685604797,biharmonic,,,,
11.393939393939394,460.0,1947.0856768468611,biharmonic,,,,
11.494949494949495,460.0,1952.3324645031696,biharmonic,,,,
11.595959595959595,460.0,1957.6188288627304,biharmonic,,,,
11.696969696969697,460.0,1962.9367672588687,biharmonic,,,,
11.797979797979798,460.0,1968.2782770249096,biharmonic,,,,
11.8989898989899,460.0,1973.6353554941784,biharmonic,,,,
12.0,460.0,1979.0,biharmonic,,,,
2.0,461.4141414141414,1908.0,biharmonic,,,,
2.101010101010101,461.4141414141414,1908.0,biharmonic,,,,
2.202020202020202,461.4141414141414,1908.0,biharmonic,,,,
2.303030303030303,461.4141414141414,1908.0,biharmonic,,,,
2.404040404040404,461.4141414141414,1908.0,biharmonic,,,,
2.505050505050505,461.4141414141414,1908.0,biharmonic,,,,
2.606060606060606,461.4141414141414,1908.0,biharmonic,,,,
2.707070707070707,461.4141414141414,1908.0,biharmonic,,,,
2.808080808080808,461.4141414141414,1908.0,biharmonic,,,,
2.909090909090909,461.4141414141414,1908.0,biharmonic,,,,
3.0101010101010104,461.4141414141414,1908.0,biharmonic,,,,
3.111111111111111,461.4141414141414,1908.0,biharmonic,,,,
3.212121212121212,461.4141414141414,1908.0,biharmonic,,,,
3.313131313131313,461.4141414141414,1908.0,biharmonic,,,,
3.4141414141414144,461.4141414141414,1908.0,biharmonic,,,,
3.515151515151515,461.4141414141414,1908.0,biharmonic,,,,
3.616161616161616,461.4141414141414,1908.0,biharmonic,,,,
3.717171717171717,461.4141414141414,1908.0,biharmonic,,,,
3.8181818181818183,461.4141414141414,1908.0,biharmonic,,,,
3.919191919191919,461.4141414141414,1908.0,biharmonic,,,,
4.020202020202021,461.4141414141414,1908.0,biharmonic,,,,
4.121212121212121,461.4141414141414,1908.0,biharmonic,,,,
4.222222222222222,461.4141414141414,1908.0,biharmonic,,,,
4.3232323232323235,461.4141414141414,1908.0,biharmonic,,,,
4.424242424242424,461.4141414141414,1908.0,biharmonic,,,,
4.525252525252525,461.4141414141414,1908.0,biharmonic,,,,
4.626262626262626,461.4141414141414,1908.0,biharmonic,,,,
4.727272727272727,461.4141414141414,1908.0,biharmonic,,,,
4.828282828282829,461.4141414141414,1908.0,biharmonic,,,,
4.929292929292929,461.4141414141414,1908.0,biharmonic,,,,
5.03030303030303,461.4141414141414,1908.0,biharmonic,,,,
5.1313131313131315,461.4141414141414,1908.0,biharmonic,,,,
