Time,Temperature,Z,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,22.0,akima,,,,
2.101010101010101,460.0,22.0,akima,,,,
2.202020202020202,460.0,22.0,akima,,,,
2.303030303030303,460.0,22.0,akima,,,,
2.404040404040404,460.0,22.0,akima,,,,
2.505050505050505,460.0,22.0,akima,,,,
2.606060606060606,460.0,22.0,akima,,,,
2.707070707070707,460.0,22.0,akima,,,,
2.808080808080808,460.0,22.0,akima,,,,
2.909090909090909,460.0,22.0,akima,,,,
3.0101010101010104,460.0,22.0,akima,,,,
3.111111111111111,460.0,22.0,akima,,,,
3.212121212121212,460.0,22.0,akima,,,,
3.313131313131313,460.0,22.0,akima,,,,
3.4141414141414144,460.0,22.0,akima,,,,
3.515151515151515,460.0,22.0,akima,,,,
3.616161616161616,460.0,22.0,akima,,,,
3.717171717171717,460.0,22.0,akima,,,,
3.8181818181818183,460.0,22.0,akima,,,,
3.919191919191919,460.0,22.0,akima,,,,
4.020202020202021,460.0,22.0,akima,,,,
4.121212121212121,460.0,22.0,akima,,,,
4.222222222222222,460.0,22.0,akima,,,,
4.3232323232323235,460.0,22.0,akima,,,,
4.424242424242424,460.0,22.0,akima,,,,
4.525252525252525,460.0,22.0,akima,,,,
4.626262626262626,460.0,22.0,akima,,,,
4.727272727272727,460.0,22.0,akima,,,,
4.828282828282829,460.0,22.0,akima,,,,
4.929292929292929,460.0,22.0,akima,,,,
5.03030303030303,460.0,22.0,akima,,,,
5.1313131313131315,460.0,22.0,akima,,,,
5.232323232323232,460.0,22.0,akima,,,,
5.333333333333334,460.0,22.0,akima,,,,
5.434343434343434,460.0,22.0,akima,,,,
5.5353535353535355,460.0,22.0,akima,,,,
5.636363636363637,460.0,22.0,akima,,,,
5.737373737373737,460.0,22.0,akima,,,,
5.838383838383838,460.0,22.0,akima,,,,
5.9393939393939394,460.0,22.0,akima,,,,
6.040404040404041,460.0,22.025077341584,akima,,,,
6.141414141414141,460.0,22.087723057383435,akima,,,,
6.242424242424242,460.0,22.15014570063112,akima,,,,
6.343434343434343,460.0,22.212151498781253,akima,,,,
